Date,EWMA Volatility (σ̂),Volatility Momentum (Δσ̂),Risk–Vol Divergence (R̂−σ̂),Loss–Risk Divergence (L−R̂),Absolute Loss (|L|)
2021-05-04,-0.5430459,-0.2174091,-2.008182,-0.1549882,0.04641618
2021-05-05,-0.62438047,-0.5888248,-1.7564118,-0.7642663,-0.53060544
2021-05-06,-0.562187,-0.34001717,-1.6546792,-0.19700553,-0.07463473
2021-05-07,-0.73002446,-0.35810077,-2.1189575,-0.2231013,-0.106969945
2021-05-10,-0.662246,-0.26711977,-2.2042243,-0.36615345,0.18517575
2021-05-11,-0.62840384,-0.24979605,-2.138624,-0.10092124,0.107169166
2021-05-12,-0.7129383,0.2581083,-1.632872,-0.58470577,-0.3300225
2021-05-13,-0.6102245,0.008883501,-1.7681146,-0.2805084,0.028122697
2021-05-14,-0.29574338,0.45109314,-1.3828357,0.045386687,0.09469406
2021-05-17,-0.4071336,0.14727369,-1.4210373,-0.3555038,-1.0670018
2021-05-18,-0.26245365,0.5296936,-0.8623701,-0.08902565,0.115026005
2021-05-19,-0.19404289,0.13465543,-1.2678556,-0.35979578,-1.1243678
2021-05-20,-0.11393833,0.5074667,-1.0389062,0.22613482,0.23877423
2021-05-21,-0.37337628,-0.64649343,-1.5754538,-0.7960581,-0.66608256
2021-05-24,-0.34173715,-0.47202265,-1.4456817,0.005110503,0.23787104
2021-05-25,-0.21035802,-0.1041426,-2.0195076,-0.23643653,-0.22137865
2021-05-26,-0.2289554,-0.3322314,-1.847394,-0.741203,-0.42964002
2021-05-27,-0.18927619,-0.3084244,-1.884019,0.10820795,-0.7106403
2021-05-28,-0.3919248,-0.25273287,-1.9757878,-0.7746914,-0.51578826
2021-06-01,-0.4101013,-2.2974758,-1.9021903,-0.90934,-0.47167832
2021-06-02,-0.35614777,-2.3003726,-1.9095687,-0.6369658,-1.348459
2021-06-03,-0.29105514,-1.084028,-2.5643423,-0.5850761,-0.87388146
2021-06-04,-0.5799453,-1.4028732,-2.2753,-0.4711744,-0.23720297
2021-06-07,-0.6792546,-0.9257008,-2.0735002,-1.0037426,-0.480366
2021-06-08,-0.55935436,-0.14895758,-0.9170783,-0.8002641,0.40288833
2021-06-09,-0.81647706,-0.15335652,-2.40228,-0.29496711,-0.8793786
2021-06-10,-0.93896437,-0.2504154,-2.1707976,-0.32441282,-0.18694243
2021-06-11,-0.8469841,-0.28036922,-2.2674406,-0.7858769,-0.5886907
2021-06-14,-0.5567819,0.035694484,-1.5062584,-0.2828215,-0.8815831
2021-06-15,-0.738826,-0.958171,-1.8009284,-0.44579473,-0.36430922
2021-06-16,-1.0005939,-1.0622916,-1.756691,-0.51489466,-0.18532772
2021-06-17,-1.011243,-2.0708404,-1.2952307,-0.55419266,-0.5278424
2021-06-18,-0.3989149,-2.2543106,-1.6553863,-0.91449624,-0.10087942
2021-06-21,-0.4534291,-2.3476887,-1.1588309,-0.20540258,0.12338259
2021-06-22,-0.6071165,0.081359625,-1.0545862,-0.738036,-0.09367074
2021-06-23,-0.74016625,-0.38441354,-0.78136855,-0.4407454,-0.6670104
2021-06-24,-0.6711316,-0.6192048,-0.7634605,0.12183453,0.22157203
2021-06-25,-0.89127034,-0.21728437,-0.8612065,-0.76432234,-0.8587478
2021-06-28,-0.90796214,-0.6647961,-0.9125299,-0.3564787,-0.3973886
2021-06-29,-0.59930325,0.024046715,-1.1034194,-0.37842375,-0.84496665
2021-06-30,-0.47782785,-0.75059557,-1.341513,-0.40050572,-1.4204469
2021-07-01,-0.58365774,-2.288463,-1.1570406,-0.9211173,-0.26473662
2021-07-02,-0.98816293,-2.3078191,-1.0070351,-0.98354334,-0.16087654
2021-07-06,-0.614137,-2.2136042,-1.5958824,-0.39285886,-0.41631678
2021-07-07,-1.1325761,-0.034540415,-1.3654913,-0.80048573,-0.8751929
2021-07-08,-0.43720722,-0.021781933,-1.6529818,-0.6252887,0.08373769
2021-07-09,-0.5698311,-0.259662,-1.1533926,-0.02637099,0.19425292
2021-07-12,-0.61460775,-0.46643934,-1.4316996,-0.8171552,-0.9270798
2021-07-13,-0.46281156,-0.11838692,-1.1539955,-0.16938381,-0.7496995
2021-07-14,-0.8914734,-0.0322083,-1.2753649,-0.37614617,-0.83471197
2021-07-15,-1.1827974,-0.32843068,-1.2054536,-0.2035903,-0.7464204
2021-07-16,-0.68475574,-0.06182791,-1.5213643,-0.47480187,0.008081898
2021-07-19,-0.4611004,0.15661941,-1.2954922,-0.73651487,-0.2846719
2021-07-20,-0.48771074,-0.7060551,-1.1144247,0.04506252,-0.11867403
2021-07-21,-0.65274096,-0.11436302,-0.65697855,0.23566017,0.0684455
2021-07-22,-0.30922103,0.076068446,-0.75692326,-0.34198385,-0.466966
2021-07-23,-0.40638286,0.53513575,-0.29026243,0.26295403,0.2520138
2021-07-26,-0.5379748,0.14724155,-0.6952607,-0.33820507,-1.057668
2021-07-27,-0.20793913,0.4566055,-0.7189025,-0.27630302,0.07191524
2021-07-28,-0.46318936,-0.24874151,-0.85535103,-0.44115883,-0.33338636
2021-07-29,-0.43483,-0.28670967,-1.1302909,-0.7793939,-0.34405988
2021-07-30,-0.60755664,-0.10363458,-0.9737143,-0.25860044,-0.0634399
2021-08-02,-0.7774793,-0.65009296,-1.1648659,-0.22070232,-0.77636987
2021-08-03,-0.79578817,-2.4767096,-0.77848303,-0.9703193,-0.17655082
2021-08-04,-0.60557365,-2.291174,-1.0391331,-0.24416304,-0.10016196
2021-08-05,-0.7834541,-0.7235058,-0.9390426,0.10841213,0.18969107
2021-08-06,-0.65807045,-0.2163908,-1.0945114,-0.30944553,-1.4473426
2021-08-09,-0.46729195,-0.24833973,-1.1751286,-0.38258752,-0.64538944
2021-08-10,-0.5246416,-0.23119208,-1.2621328,-0.38941434,-0.6948336
2021-08-11,-0.70669514,-0.2920391,-1.307171,-0.34870148,-1.4139462
2021-08-12,-0.5099512,-2.2349312,-1.5389495,-0.95704305,-0.4696824
2021-08-13,-0.5403874,-2.1223283,-1.5307475,-0.45575193,-1.3755102
2021-08-16,-0.65884453,-0.85393304,-2.0480442,-0.5663641,-0.7235812
2021-08-17,-0.91687894,-0.84481853,-2.002573,-0.59293956,-0.18947975
2021-08-18,-0.39517885,-2.3377814,-1.6157235,-0.540964,0.040537596
2021-08-19,-0.7101506,-0.6047786,-1.5982383,-0.34865826,-0.79823583
2021-08-20,-0.7852206,-0.040336993,-1.280854,-0.81190795,-0.058011618
2021-08-23,-0.8733033,0.0004950727,-1.2212076,0.22708334,0.079455234
2021-08-24,-0.85804653,-0.4764844,-1.2639147,-0.38784856,-1.3845134
2021-08-25,-1.3148868,-0.2641195,-1.0785911,-0.36768845,-0.35749075
2021-08-26,-0.8324452,-0.4975743,-1.2776557,-0.3214078,0.182396
2021-08-27,-0.58173054,0.034293253,-0.9829558,0.21401522,0.106095865
2021-08-30,-0.6698067,-0.74408984,-1.2146739,-0.8123096,-0.16675416
2021-08-31,-0.6248907,-0.6639595,-1.3662187,-0.43989572,-1.37208
2021-09-01,-0.4822268,-0.45099038,-1.3938054,-0.48097286,-0.7227362
2021-09-02,-0.6167765,-0.40417838,-1.4914874,-0.38691399,-0.70933217
2021-09-03,-0.8287102,-0.38425294,-1.4748691,-0.43869382,-0.65009546
2021-09-07,-1.0649233,-0.22736423,-1.6780713,-0.26443416,-0.78139436
2021-09-08,-0.9453223,-2.1042228,-1.4167274,-0.47869942,-1.2809311
2021-09-09,-1.1241484,-2.1098616,-1.5129038,-0.6088626,-0.13047722
2021-09-10,-1.7070073,-2.131865,-1.5623096,-0.4679045,-0.21140115
