ticker,n_days,pos_rate,auc_volthresh,auc_lr,auc_xgb,auc_rcre,brier_xgb,esb_base,esb_gated,esb_reduction,avg_exposure,asset
^GSPC,6324,0.0315,0.508,0.755,0.704,0.693,0.0327,0.0323,0.0187,0.42,0.695,S&P 500
^FTSE,6354,0.0274,0.498,0.709,0.74,0.728,0.0185,0.0316,0.0172,0.455,0.802,FTSE 100
^N225,6152,0.0297,0.496,0.641,0.628,0.544,0.0315,0.0413,0.0185,0.552,0.6,Nikkei 225
^GDAXI,6388,0.0308,0.497,0.732,0.671,0.64,0.0235,0.0335,0.0176,0.474,0.661,DAX
^HSI,6190,0.0312,0.542,0.64,0.558,0.563,0.0256,0.0566,0.0187,0.669,0.542,Hang Seng
EEM,5502,0.0324,0.5,0.67,0.566,0.523,0.0259,0.0334,0.0138,0.586,0.556,EM ETF
